,Month,Decade,Type,Country,Area,Location,Activity,Fatal,Time
3570,unknown,1960,Unprovoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",Manus Island,low water,Y,unknown
3571,Dec-Feb,1960,Invalid,USA,Florida,"Key Biscayne, Miami, Dade County",fishing,unknown,unknown
3572,Dec-Feb,1960,Boat,CARIBBEAN SEA,unknown,Between USA & Cuba,underwater,N,12-17
3573,Dec-Feb,1960,Provoked,USA,New Jersey,"Reeds Bay, Brigantine, Atlantic County",fishing,N,7-11
3574,Sep-Nov,1960,Provoked,USA,Florida,"Ft. Lauderdale, Broward County",fishing,N,unknown
3575,Sep-Nov,1960,Unprovoked,USA,Texas,Bolivar Peninsula,unknown,N,low afluency
3576,Sep-Nov,1960,Provoked,FRENCH POLYNESIA,Society Islands,Tahiti,unknown,N,7-11
3577,Sep-Nov,1960,Sea Disaster,AUSTRALIA,New South Wales,Jervis Bay,sports table,Y,12-17
3578,Sep-Nov,1960,Unprovoked,AUSTRALIA,New South Wales, Bellingen,unknown,N,unknown
3579,Sep-Nov,1960,Sea Disaster,AUSTRALIA,unknown,7 miles offshore on east coast of Australia,low water,Y,unknown
3580,Sep-Nov,1960,Invalid,USA,Florida,"Fernandina Beach, Nassau County",unknown,unknown,unknown
3581,Sep-Nov,1960,Sea Disaster,PHILIPPINES,unknown,Off Cebu,fishing,Y,unknown
3582,Sep-Nov,1960,Unprovoked,USA,Puerto Rico,unknown,low water,N,unknown
3583,Sep-Nov,1960,Sea Disaster,AUSTRALIA,New South Wales,"Botany Bay, Sydney",unknown,N,unknown
3584,Sep-Nov,1960,Provoked,AUSTRALIA,New South Wales,Maroubra,fishing,N,12-17
3585,Sep-Nov,1960,Sea Disaster,SUDAN,Red Sea,unknown,unknown,Y,18-22
3586,Jun-Aug,1960,Unprovoked,AUSTRALIA,New South Wales,Coledale Beach,unknown,N,unknown
3587,Jun-Aug,1960,Provoked,SOUTH AFRICA,Western Cape Province,Strandfontein Beach,low water,N,12-17
3588,Jun-Aug,1960,Sea Disaster,INDONESIA,North Sumatra,Near Belawan,unknown,Y,unknown
3589,Jun-Aug,1960,Unprovoked,USA,California,"Pebble Beach, Cypress Point, Monterey County",low water,N,12-17
3590,Jun-Aug,1960,Unprovoked,AUSTRALIA,New South Wales,Bellambi,unknown,N,unknown
3591,Jun-Aug,1960,Sea Disaster,COLUMBIA,unknown,Off Cartagena,low water,Y,unknown
3592,Jun-Aug,1960,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Riet River,underwater,N,unknown
3593,Jun-Aug,1960,Unprovoked,AUSTRALIA,Western Australia,Woodman Point,low water,N,12-17
3594,Jun-Aug,1960,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umkomaas,fishing,N,unknown
3595,Jun-Aug,1960,Unprovoked,NEW ZEALAND,North Island,"Oakura Beach, Taranaki",low water,Y,7-11
3596,Mar-May,1960,Unprovoked,USA,Florida,"Hollywood, Broward County",low water,N,12-17
3597,Mar-May,1960,Invalid,USA,California,"Huntington Beach, Orange County",low water,unknown,unknown
3598,Mar-May,1960,Unprovoked,AUSTRALIA,Western Australia,"Bathurst Reef, Rottnest Island",low water,N,unknown
3599,Mar-May,1960,Unprovoked,JOHNSTON ISLAND,unknown,unknown,underwater,N,unknown
3600,Mar-May,1960,Boat,AUSTRALIA,South Australia,Cape Jervis,low water,N,unknown
3601,Mar-May,1960,Provoked,AUSTRALIA,Queensland,Near Brisbane,unknown,Y,12-17
3602,Mar-May,1960,Unprovoked,PACIFIC OCEAN ,"250 miles southwest of O'ahu, Hawaii",Japanese fishing boat Taihei Maru No.10,sports table,N,12-17
3603,Mar-May,1960,Invalid,PANAMA,Caribbean Sea,Golfo de los Mosquitos,fishing,unknown,7-11
3604,Mar-May,1960,Unprovoked,AUSTRALIA,Queensland,Oak Beach,low water,N,12-17
3605,Mar-May,1960,Unprovoked,unknown,unknown,Florida Strait,unknown,N,7-11
3606,Mar-May,1960,Unprovoked,BAHAMAS,New Providence Island,Nassau,unknown,N,7-11
3607,Mar-May,1960,Unprovoked,BAHAMAS,New Providence Island,Nassau,underwater,Y,12-17
3608,Dec-Feb,1960,Unprovoked,NEW BRITAIN,West coast,"Outside the reef off Moputu Village, near Talasea",low water,Y,12-17
3609,Dec-Feb,1960,Unprovoked,PAPUA NEW GUINEA,New Britain,unknown,underwater,N,12-17
3610,Dec-Feb,1960,Provoked,PAPUA NEW GUINEA,Madang Province,Sek Harbor,unknown,N,unknown
3611,Dec-Feb,1960,Provoked,PAPUA NEW GUINEA,East Sepik,Moem Village near Wewak,unknown,N,12-17
3612,Dec-Feb,1960,Unprovoked,MEXICO,Veracruz,Playa Villa del Mar,low water,N,12-17
3613,Dec-Feb,1960,Invalid,PHILIPPINES,unknown,"Grounded off Scarborough Shoals, 150 miles northwest of Manila in the South China Sea",low water,unknown,unknown
3614,Dec-Feb,1960,Unprovoked,USA,New Jersey,"Steel Pier, Atlantic City, Atlantic County",underwater,N,unknown
3615,unknown,1960,Provoked,BAHAMAS,Bimini Islands,Lerner Marine Lab,unknown,N,unknown
3616,unknown,1960,Unprovoked,MEXICO,Veracruz,Mocambo,sports table,Y,unknown
3617,unknown,1960,Boat,BERMUDA,Hamilton,unknown,unknown,N,unknown
3618,Mar-May,1960,Invalid,USA,Florida,"In front of Key Biscayne Beach Club, Key Biscayne",low water,unknown,unknown
3619,Mar-May,1960,Invalid,USA,Florida,150 miles southeast of Cape Kennedy,fishing,unknown,unknown
3620,unknown,1960,Unprovoked,MEXICO,Veracruz,Mocambo,unknown,N,unknown
3621,unknown,1960,Unprovoked,PAPUA NEW GUINEA,Near Bougainville (North Solomons),Huhunoti Island,unknown,N,unknown
3622,Dec-Feb,1960,Unprovoked,SOUTH PACIFIC OCEAN,unknown,unknown,low water,Y,12-17
3623,Dec-Feb,1960,Unprovoked,MEXICO,Veracruz,Playa Mocambo,unknown,Y,unknown
3624,Dec-Feb,1960,Unprovoked,MEXICO,Veracruz,Playa Mocambo,fishing,Y,7-11
3625,Dec-Feb,1960,Unprovoked,EGYPT,unknown,unknown,low water,N,12-17
3626,Dec-Feb,1960,Unprovoked,JAMAICA,unknown,unknown,fishing,N,unknown
3627,Sep-Nov,1960,Unprovoked,MEXICO,Veracruz,Mocambo,underwater,N,12-17
3628,Sep-Nov,1960,Unprovoked,USA,Florida,"Hobe Sound, Martin County",low water,N,12-17
3629,Sep-Nov,1960,Invalid,USA,California,"Pacifica, San Mateo County",unknown,unknown,unknown
3630,Sep-Nov,1960,Unprovoked,USA,Florida,American Shoals off Key West,fishing,N,18-22
3631,Sep-Nov,1960,Unprovoked,PALAU,Western Caroline Islands,Koror,fishing,N,unknown
3632,Sep-Nov,1960,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",unknown,N,low afluency
3633,Sep-Nov,1960,Invalid,USA,Puerto Rico,60 miles offshore north of San Juan,sports table,unknown,7-11
3634,Sep-Nov,1960,Unprovoked,USA,Florida,"Pompano Beach, Palm Beach County",fishing,N,7-11
3635,Sep-Nov,1960,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amatikulu,low water,N,12-17
3636,Sep-Nov,1960,Unprovoked,USA,Massachusetts,"Granite Pier, Rockport",low water,N,12-17
3637,Jun-Aug,1960,Invalid,USA,California,"Newport Beach, Orange County",low water,unknown,12-17
3638,Jun-Aug,1960,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",low water,N,12-17
3639,Jun-Aug,1960,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",fishing,N,7-11
3640,Jun-Aug,1960,Unprovoked,AUSTRALIA,Victoria,"East of Station Pier, Port Melbourne",low water,N,7-11
3641,Jun-Aug,1960,Unprovoked,NEW GUINEA,Central Province,Off Gaire Village,fishing,Y,12-17
3642,Jun-Aug,1960,Unprovoked,USA,Texas,"Port Lavaca, Calhoun County",low water,N,unknown
3643,Jun-Aug,1960,Provoked,USA,California,"Dana Point, San Clemente, Orange County",underwater,N,unknown
3644,Jun-Aug,1960,Provoked,USA,Florida,"Between Palm  & Salerno Inlets, Martin County",unknown,N,7-11
3645,Jun-Aug,1960,Unprovoked,RED SEA,East of the Gulf of Aqaba,unknown,unknown,N,unknown
3646,Jun-Aug,1960,Unprovoked,EGYPT,unknown,South of Hurghada,unknown,N,unknown
3647,Jun-Aug,1960,Unprovoked,VANUATU,Malampa Province,Island of Paam'a,fishing,Y,unknown
3648,Jun-Aug,1960,Invalid,SOUTH AFRICA,Eastern Cape Province,Pollock Beach,unknown,unknown,unknown
3649,Jun-Aug,1960,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,low water,N,unknown
3650,Jun-Aug,1960,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),Buka Island,sports boat,N,unknown
3651,Jun-Aug,1960,Boat,AUSTRALIA,New South Wales,Port Jervis,unknown,N,unknown
3652,Jun-Aug,1960,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),"Off Sing Village, Buka Island",unknown,N,low afluency
3653,Jun-Aug,1960,Unprovoked,KENYA,Coast Province,"Kilindini Harbor, Mombasa",fishing,Y,unknown
3654,Jun-Aug,1960,Unprovoked,AUSTRALIA,Victoria ,Lady Julia Percy Island,fishing,N,unknown
3655,Jun-Aug,1960,Unprovoked,AUSTRALIA,Queensland,"Fingal Beach, near Tweed Heads",fishing,Y,unknown
3656,Jun-Aug,1960,Provoked,AUSTRALIA,New South Wales,"North Solitary Island, 8 miles from Wolli",low water,N,12-17
3657,Mar-May,1960,Boat,USA,Puerto Rico,unknown,low water,N,unknown
3658,Mar-May,1960,Provoked,SOUTH AFRICA,KwaZulu-Natal,Umkomaas,fishing,N,7-11
3659,Mar-May,1960,Invalid,USA,Florida,"Near US Air Force Base at Elgin, Okaloosa County",underwater,unknown,unknown
3660,Mar-May,1960,Unprovoked,AUSTRALIA,Western Australia,"Avalon Beach, near Mandurah, 50 miles south of Perth",fishing,N,unknown
3661,Mar-May,1960,Invalid,unknown,unknown,unknown,sports table,unknown,unknown
3662,Mar-May,1960,Unprovoked,TAIWAN,Northern Taiwan,"Tamsui Beach, Taipai",unknown,Y,low afluency
3663,Mar-May,1960,Unprovoked,TAIWAN,Northern Taiwan,Tamsui Beach,underwater,N,12-17
3664,Mar-May,1960,Unprovoked,USA,Florida,"Hollywood Beach, Broward County",underwater,N,unknown
3665,Dec-Feb,1960,Unprovoked,MEXICO,Guerrero,Acapulco,fishing,N,unknown
3666,Dec-Feb,1960,Invalid,USA,Florida,5 miles south of Palm Beach,underwater,unknown,unknown
3667,Dec-Feb,1960,Unprovoked,USA,Florida,"Panama City, Bay County",fishing,N,7-11
3668,Dec-Feb,1960,Unprovoked,USA,Florida,"2 miles off Jupiter, Palm Beach County",underwater,N,12-17
3669,Dec-Feb,1960,Unprovoked,JAPAN,Okayama Prefecture,Saidaiji,fishing,N,18-22
3670,Dec-Feb,1960,Unprovoked,PANAMA,San Blas,Off Achutuppu Island near Ailigandi,low water,N,7-11
3671,Dec-Feb,1960,Provoked,USA,Puerto Rico,unknown,unknown,N,unknown
3672,Dec-Feb,1960,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Island Rock,low water,N,low afluency
3673,Dec-Feb,1960,Invalid,USA,Connecticut,"3 days out of Old Saybrook, Connecticut, 37.04'N, 67.57'W, Southern fringe of Gulf Stream",low water,unknown,7-11
3674,Dec-Feb,1960,Invalid,SOUTH AFRICA,KwaZulu-Natal,Island Rock,sports boat,Y,12-17
3675,Dec-Feb,1960,Provoked,USA,Florida,"Palm Beach, Palm Beach County",low water,N,unknown
3676,Dec-Feb,1960,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,A reef off New Hanover (Northern end),low water,Y,unknown
3677,Dec-Feb,1960,Boat,PAPUA NEW GUINEA,New Ireland Province,Southern end,fishing,N,unknown
3678,Dec-Feb,1960,Sea Disaster,BERMUDA,Hamilton,2 miles south of Castle Island Harbour entrance to Hamilton,low water,Y,12-17
3679,Dec-Feb,1960,Invalid,USA,New York,Long Island,low water,unknown,7-11
3680,Dec-Feb,1960,Boat,USA,California,"Long Beach, Los Angeles County",unknown,N,7-11
3681,Dec-Feb,1960,Boat,PAPUA NEW GUINEA,New Britain,Near Rabaul,underwater,N,unknown
3682,Dec-Feb,1960,Unprovoked,FIJI,Lau Group,"Tovu, Totoya Island",fishing,N,12-17
3683,Dec-Feb,1960,Invalid,SOUTH AFRICA,KwaZulu-Natal,Port Edward,fishing,unknown,unknown
3684,Dec-Feb,1960,Unprovoked,PANAMA,Caribbean Coast,unknown,low water,N,12-17
3685,Dec-Feb,1960,Unprovoked,FIJI,Vita Levu,Naviti,unknown,Y,unknown
3686,Dec-Feb,1960,Unprovoked,PANAMA,San Blas Islands,"Achutupu, a small island ner Ailigandi",underwater,Y,18-22
3687,Dec-Feb,1960,Unprovoked,PAPUA NEW GUINEA,Madang Province,Inshore side of reef near Madang,underwater,Y,7-11
3688,Dec-Feb,1960,Unprovoked,AUSTRALIA,South Australia,Surfers Paradise Beach near Victor Harbour,low water,N,12-17
3689,Dec-Feb,1960,Sea Disaster,PAPUA NEW GUINEA,Central Province,30 miles from Port Moresby,low water,Y,12-17
3690,Dec-Feb,1960,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",unknown,N,18-22
3691,Dec-Feb,1960,Unprovoked,SENEGAL,Cap Vert Peninsula,"Bel Air, Dakar",low water,N,12-17
3692,Dec-Feb,1960,Provoked,FIJI,unknown,Savuli Reef,unknown,N,unknown
3693,Dec-Feb,1960,Unprovoked,NEW CALEDONIA,unknown,unknown,unknown,Y,18-22
3694,Dec-Feb,1960,Unprovoked,FIJI,Vanua Levu,"Nailou Village, Tunuloa Natewa Bay",fishing,Y,unknown
3695,Dec-Feb,1960,Unprovoked,NEW ZEALAND,North Island,"Palliser Bay, Whatarangi (east of Wellington)",fishing,N,12-17
3696,Dec-Feb,1960,Unprovoked,NEW ZEALAND,North Island,"West of Pukerua Bay, Wellington",unknown,N,12-17
3697,Dec-Feb,1960,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,fishing,N,12-17
3698,Dec-Feb,1960,Unprovoked,NEW ZEALAND,North Island,"Hokio Beach, near Levin",fishing,N,unknown
3699,Sep-Nov,1960,Unprovoked,NEW ZEALAND,South Island,"St. Clair Beach, Dunedin",low water,Y,12-17
3700,Sep-Nov,1960,Invalid,AUSTRALIA,Queensland,Brisbane,fishing,unknown,12-17
3701,Sep-Nov,1960,Boat,NEW ZEALAND,South Island,"Ngatuka Bay, near Picton",fishing,N,7-11
3702,Sep-Nov,1960,Unprovoked,USA,Florida,Palm Beach County,unknown,N,12-17
3703,Sep-Nov,1960,Unprovoked,COSTA RICA,Puntarenas Province,Puntarenas,fishing,Y,unknown
3704,Sep-Nov,1960,Unprovoked,FIJI,unknown,70 miles from Suva,unknown,Y,unknown
3705,Sep-Nov,1960,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,unknown,N,7-11
3706,Sep-Nov,1960,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,low water,N,unknown
3707,Sep-Nov,1960,Boat,SOUTH AFRICA,Western Cape Province,20 m from shore at Strand,fishing,N,low afluency
3708,Sep-Nov,1960,Unprovoked,AUSTRALIA,Western Australia,Hamelin Bay,fishing,N,12-17
3709,Sep-Nov,1960,Unprovoked,USA,California,Southeast Farallon Island,fishing,N,unknown
3710,Sep-Nov,1960,Unprovoked,PAPUA NEW GUINEA,New Britain,unknown,fishing,Y,7-11
3711,Sep-Nov,1960,Unprovoked,FIJI,"Lomaloma, Lau",Tuvuca Isalnd,fishing,N,unknown
3712,Sep-Nov,1960,Unprovoked,AUSTRALIA,Western Australia,Metro coast,unknown,UNKNOWN,12-17
3713,Sep-Nov,1960,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,sports table,N,7-11
3714,Sep-Nov,1960,Invalid,NEW ZEALAND,North Island,White Island,fishing,unknown,12-17
3715,Jun-Aug,1960,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Catfish Rock, between Salt Rock & Shakas Rock",low water,N,unknown
3716,Jun-Aug,1960,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umhlanga Rocks,fishing,N,7-11
3717,Jun-Aug,1960,Unprovoked,AUSTRALIA,Queensland,"Figtree Ledge, Hervey Bay",low water,N,12-17
3718,Jun-Aug,1960,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie River Mouth,fishing,Y,unknown
3719,Jun-Aug,1960,Invalid,ATLANTIC OCEAN,Between Southampton & Canary Islands,unknown,fishing,unknown,unknown
3720,Jun-Aug,1960,Provoked,SOUTH AFRICA,KwaZulu-Natal,"Next to West Street groyne, Durban",low water,N,unknown
3721,Jun-Aug,1960,Provoked,AUSTRALIA,New South Wales,"Woolgoolga, Coffs Harbour",low water,N,12-17
3722,Jun-Aug,1960,Unprovoked,SOUTH AFRICA,Western Cape Province,Hartenbos,fishing,N,7-11
3723,Mar-May,1960,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umvoti,low water,Y,unknown
3724,Mar-May,1960,Unprovoked,AUSTRALIA,South Australia,55 miles south of Adelaide,unknown,N,unknown
3725,Mar-May,1960,Unprovoked,NEW BRITAIN,"South Coast, East New Britain",Pomio,fishing,Y,unknown
3726,Mar-May,1960,Unprovoked,NEW ZEALAND,South Island,"Charteris Bay, Lyttleton Harbour",low water,N,12-17
3727,Mar-May,1960,Provoked,PAPUA NEW GUINEA,Gulf Province,"Kukipi, 150 miles west of Port Moresby in the Lakekamu River area",low water,N,12-17
3728,Mar-May,1960,Unprovoked,FIJI, Lau Province,"Dravuwalu, Totoya Island",sports table,N,unknown
3729,Mar-May,1960,Unprovoked,FIJI,Vita Levu,Rewa River,sports table,N,12-17
3730,Mar-May,1960,Unprovoked,ITALY,Sicily,Off Mondello Lighthouse,unknown,N,unknown
3731,Mar-May,1960,Provoked,AUSTRALIA,Queensland,Mermaid Beach,unknown,N,low afluency
3732,Dec-Feb,1960,Provoked,USA,Florida,"8 miles south of Elliot Key, Miami-Dade County",low water,N,7-11
3733,Dec-Feb,1960,Unprovoked,PAPUA NEW GUINEA,New Britain,unknown,fishing,N,12-17
3734,Dec-Feb,1960,Unprovoked,PALAU,Western Caroline Islands,Koror,fishing,N,7-11
3735,Dec-Feb,1960,Unprovoked,USA,Florida,"Biltmore Beach, near Panama City",unknown,N,unknown
3736,Dec-Feb,1960,Provoked,NORTH PACIFIC OCEAN,unknown,unknown,unknown,N,unknown
3737,Dec-Feb,1960,Unprovoked,CHILE,unknown,"El Panul, 12km south of Coquimbo",underwater,Y,unknown
3738,Dec-Feb,1960,Invalid,USA,Florida,100 miles offshore,low water,unknown,12-17
3739,Dec-Feb,1960,Unprovoked,SOLOMON ISLANDS,Ysabel Island,Susukana Plantation,low water,Y,12-17
3740,Dec-Feb,1960,Provoked,AUSTRALIA,New South Wales,Wanda Beach,fishing,N,unknown
3741,Dec-Feb,1960,Provoked,USA,Florida,"Snapper Point Jetty, Miami, Dade County",fishing,N,12-17
3742,Dec-Feb,1960,Unprovoked,DOMINICAN REPUBLIC,Santo Domingo,Rio Haina Port,fishing,Y,unknown
3743,Dec-Feb,1960,Unprovoked,FEDERATED STATES OF MICRONESIA,Eastern Caroline Islands,"Koop Reef, Truk (Chuuk)",underwater,N,12-17
3744,Dec-Feb,1960,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",fishing,N,12-17
3745,Dec-Feb,1960,Provoked,USA,Mississippi,Horn Island,fishing,N,unknown
3746,Dec-Feb,1960,Sea Disaster,JAMAICA,unknown,unknown,unknown,Y,unknown
3747,unknown,1960,Unprovoked,PANAMA,San Blas coast,"4 miles from Tuwala, near Mulatuppu",unknown,Y,unknown
3748,unknown,1960,Unprovoked,GREECE,Thessaly,near Trikerion Island,fishing,Y,unknown
3749,Dec-Feb,1960,Provoked,PAPUA NEW GUINEA,Central Province,Near Fisherman's Island,underwater,N,7-11
3750,Dec-Feb,1960,Invalid,USA,California,San Mateo County,fishing,unknown,12-17
3751,Dec-Feb,1960,Sea Disaster,PHILIPPINES,Luzon Island,100 miles southeast of Manila,fishing,Y,unknown
3752,Sep-Nov,1960,Provoked,AUSTRALIA,New South Wales,Clarence Head,fishing,N,unknown
3753,Sep-Nov,1960,Unprovoked,USA,US Virgin Islands,"St. Thomas, Magens Bay",unknown,Y,unknown
3754,Sep-Nov,1960,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,fishing,N,12-17
3755,Sep-Nov,1960,Unprovoked,AUSTRALIA,Western Australia,Yallingup,fishing,N,unknown
3756,Sep-Nov,1960,Unprovoked,USA,Hawaii,"Awili, South Kona, Hawai'i",unknown,N,low afluency
3757,Sep-Nov,1960,Invalid,USA,Hawaii,"Hapuna Beach, Hawai'i",fishing,unknown,12-17
3758,Sep-Nov,1960,Sea Disaster,SOLOMON ISLANDS,Bougainville (North Solomons),unknown,low water,Y,7-11
3759,Sep-Nov,1960,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Namatanai,unknown,N,unknown
3760,Sep-Nov,1960,Unprovoked,AUSTRALIA,New South Wales,Wombarra Beach near Austinmeer,unknown,N,unknown
3761,Sep-Nov,1960,Unprovoked,FIJI,Lomaiviti  Island Group,"Taibaisa Passage, Gau Island",fell,N,unknown
3762,Sep-Nov,1960,Unprovoked,MAURITIUS,Rodrigues,unknown,unknown,N,unknown
3763,Sep-Nov,1960,Invalid,USA,Florida,Off Key West,fishing,unknown,12-17
3764,Sep-Nov,1960,Unprovoked,FIJI,unknown,unknown,low water,N,12-17
3765,Sep-Nov,1960,Unprovoked,AUSTRALIA,New South Wales,"Sugarloaf Bay, Middle Harbour, Sydney",unknown,Y,unknown
3766,Sep-Nov,1960,Invalid,AUSTRALIA,New South Wales,Evans Head,fishing,unknown,7-11
3767,Jun-Aug,1960,Boat,SOUTH AFRICA,Western Cape Province,False Bay,fishing,N,unknown
3768,Jun-Aug,1960,Provoked,NEW ZEALAND,North Island,"Petone Beach, Wellington",unknown,N,unknown
3769,Jun-Aug,1960,Provoked,SOUTH AFRICA,Eastern Cape Province,Humewood,fishing,N,unknown
3770,Jun-Aug,1960,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Peace Cottage, Umdhloti",underwater,N,7-11
3771,Jun-Aug,1960,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Selection Reef, Umdhloti",unknown,N,unknown
3772,Jun-Aug,1960,Provoked,AUSTRALIA,South Australia,Off Franklin Island between Streaky Bay & Ceduna,fishing,N,12-17
3773,Jun-Aug,1960,Boat,MOZAMBIQUE,unknown,"Limpopo River, 547 km from the sea",fishing,N,12-17
3774,Jun-Aug,1960,Unprovoked,FIJI,Vita Levu,Korolevu (South coast between Nadi & Suva),low water,UNKNOWN,12-17
3775,Jun-Aug,1960,Unprovoked,SEYCHELLES,unknown,unknown,fishing,Y,12-17
3776,Jun-Aug,1960,Provoked,SOUTH AFRICA,KwaZulu-Natal,Shark tank at Oceanographic Research Institute,underwater,N,unknown
3777,Jun-Aug,1960,Unprovoked,AUSTRALIA,South Australia,Carrickalinga Head,unknown,Y,unknown
3778,Jun-Aug,1960,Boat,SOUTH AFRICA,Western Cape Province,Swartklip,low water,N,unknown
3779,Jun-Aug,1960,Unprovoked,AUSTRALIA,New South Wales,Sydney,unknown,N,7-11
3780,Jun-Aug,1960,Invalid,AUSTRALIA,Queensland,Townsville,fishing,unknown,12-17
3781,Jun-Aug,1960,Unprovoked,USA,California,Farallon Islands,unknown,N,12-17
3782,Jun-Aug,1960,Boat,AUSTRALIA,New South Wales,Off Kisma,unknown,N,12-17
3783,Jun-Aug,1960,Sea Disaster,MID ATLANTIC OCEAN,unknown,Off Bermuda,unknown,N,unknown
3785,Jun-Aug,1960,Unprovoked,MEXICO,Veracruz,"Villa del Mar Beach, Veracruz",unknown,Y,18-22
3786,Jun-Aug,1960,Unprovoked,ADMIRALTY ISLANDS,Manus Island,Sisi  (west coast of island),unknown,N,7-11
3787,Jun-Aug,1960,Boat,AUSTRALIA,South Australia,Port Phillip Bay,unknown,N,low afluency
3788,Jun-Aug,1960,Invalid,USA,California,2 miles off Santa Catalina Island,unknown,unknown,low afluency
3789,Jun-Aug,1960,Unprovoked,PANAMA,Pinas Bay,unknown,unknown,Y,unknown
3790,Jun-Aug,1960,Unprovoked,BRITISH WEST INDIES,Grand Turk Island,Long Cay,low water,N,12-17
3791,Jun-Aug,1960,Unprovoked,MEXICO,Veracruz,"Villa del Mar Beach, Veracruz",fishing,N,7-11
3792,Jun-Aug,1960,Unprovoked,SOUTH ATLANTIC OCEAN,Off coast of West Africa,Off the passenger liner Stirling Castle,underwater,Y,12-17
3793,Jun-Aug,1960,Unprovoked,ITALY,Tyrrhenian Sea,"Circeo, Secca del Quadro",underwater,Y,12-17
3794,Mar-May,1960,Provoked,ISRAEL,Sharon,2 km north of Apollonia,unknown,UNKNOWN,unknown
3795,Mar-May,1960,Boat,TURKEY,Antalya Province,Ucagiz,unknown,N,low afluency
3796,Mar-May,1960,Provoked,PAPUA NEW GUINEA,Northern District,Kufulu Point,fishing,N,unknown
3797,Mar-May,1960,Provoked,USA,California,"Solana Beach, San Diego County",fishing,N,unknown
3798,Mar-May,1960,Boat,USA,Florida,6 miles north of Palm Beach,low water,N,7-11
3799,Mar-May,1960,Boat,SOUTH AFRICA,Western Cape Province,Robbesteen,low water,N,7-11
3800,Mar-May,1960,Unprovoked,USA,Texas,"Off Andy Bowie Park, Padre Island, near Port Isabel",fishing,Y,unknown
3801,Mar-May,1960,Unprovoked,USA,New Jersey,"Manasquan, Ocean County",unknown,N,unknown
3802,Mar-May,1960,Unprovoked,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Pekinberui Village, Tabar Island",fishing,Y,unknown
3803,Mar-May,1960,Unprovoked,ITALY,Tyrrhenian Sea,"Circeo, Secca del Faro",low water,N,12-17
3804,Dec-Feb,1960,Unprovoked,SENEGAL,Cap Vert Peninsula,unknown,low water,N,unknown
3805,Dec-Feb,1960,Unprovoked,USA,South Carolina,"Off Hilton Head, Beaufort County ",low water,N,unknown
3806,Dec-Feb,1960,Provoked,MADAGASCAR,unknown,"Onboard tuna boat, M.V. Toscui Maru",fishing,N,7-11
3807,Dec-Feb,1960,Provoked,USA,California,30 miles south of San Clemente Island,low water,N,7-11
3808,Dec-Feb,1960,Unprovoked,USA,Georgia,"St. Simons Island or Jeykll Island, Glynn County",low water,N,12-17
3809,Dec-Feb,1960,Unprovoked,USA,Georgia,"Jekyll Island, Glynn County",low water,N,12-17
3810,Dec-Feb,1960,Invalid,GREECE,Cyclades,Near Mykonos Island,fishing,unknown,unknown
3811,Dec-Feb,1960,Invalid,USA,Florida,"Fernandina Beach, Nassau County",low water,unknown,unknown
3812,Dec-Feb,1960,Boat,SOUTH AFRICA,Western Cape Province,"Millers Point, False Bay",unknown,N,12-17
3814,Dec-Feb,1960,Unprovoked,USA,California,San Francisco Bay,fishing,N,unknown
3815,Dec-Feb,1960,Unprovoked,USA,California,San Francisco Bay,fishing,Y,12-17
3817,Dec-Feb,1960,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Mouth of Suareng River, a mile from Taludig",fishing,Y,12-17
3818,Dec-Feb,1960,Unprovoked,USA,South Carolina,"Hilton Head, Beaufort County",fishing,N,7-11
3819,Dec-Feb,1960,Boat,AUSTRALIA,Western Australia,Emu Point,fishing,N,unknown
3820,Dec-Feb,1960,Provoked,USA,California,"12' tank at Steinhart Aquarium, San Francisco",sports table,N,12-17
