,Month,Decade,Type,Country,Area,Location,Activity,Fatal,Time
1091,Sep-Nov,2000,Invalid,USA,North Carolina,"Corolla, Currituck County",fishing,Y,unknown
1092,Jun-Aug,2000,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife",sports table,Y,18-22
1093,Jun-Aug,2000,Invalid,NEVIS,unknown,Castle Beach,sports table,unknown,12-17
1094,Jun-Aug,2000,Provoked,SOLOMON ISLANDS,Makira-Ulawa Province,"Kirakira, Makira Island (formerly San Cristobal)",low water,N,12-17
1095,Jun-Aug,2000,Unprovoked,USA,California,"Huntington Beach, Orange County",low water,N,unknown
1096,Jun-Aug,2000,Unprovoked,SOUTH AFRICA,Western Cape Province,Glentana,low water,Y,18-22
1097,Jun-Aug,2000,Unprovoked,USA,California,"Terramar Beach, Carlsbad, San Diego County",sports table,N,7-11
1098,Jun-Aug,2000,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Alkantstrand ,fishing,N,7-11
1099,Jun-Aug,2000,Unprovoked,USA,Florida,"Ponce, Volusia County",fishing,N,unknown
1100,Jun-Aug,2000,Unprovoked,USA,Hawaii,Kawa'a ,sports table,N,low afluency
1101,Jun-Aug,2000,Unprovoked,USA,Louisiana,"Curlew Island, Breton Sound",low water,N,12-17
1102,Jun-Aug,2000,Unprovoked,BAHAMAS,Abaco Islands,Spanish Cay,unknown,N,unknown
1103,Jun-Aug,2000,Unprovoked,AUSTRALIA,New South Wales,Broken Head,low water,N,12-17
1104,Jun-Aug,2000,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,low water,N,7-11
1105,Jun-Aug,2000,Unprovoked,KENYA,Mombasa,Likoni Channel,low water,Y,12-17
1106,Jun-Aug,2000,Unprovoked,USA,Texas,South Padre Island,low water,N,12-17
1107,Jun-Aug,2000,Invalid,SPAIN,Catalunya,Sant Salvador,low water,unknown,unknown
1108,Jun-Aug,2000,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,fishing,N,unknown
